accuracy_train,accuracy_test,num_params,c1_ksize,c1_stride,c2_ksize,c2_stride,num_filters,config_num,config_label
0.875,0.875,52954,1,1,1,1,16,0,"Config: 1/1, 1/1 flt #16"
0.0,0.0,0,1,1,1,1,32,1,"Config: 1/1, 1/1 flt #32"
0.0,0.0,0,1,1,1,1,64,2,"Config: 1/1, 1/1 flt #64"
0.0,0.0,0,1,1,1,2,16,3,"Config: 1/1, 1/2 flt #16"
0.0,0.0,0,1,1,1,2,32,4,"Config: 1/1, 1/2 flt #32"
0.0,0.0,0,1,1,1,2,64,5,"Config: 1/1, 1/2 flt #64"
0.0,0.0,0,1,1,2,1,16,6,"Config: 1/1, 2/1 flt #16"
0.0,0.0,0,1,1,2,1,32,7,"Config: 1/1, 2/1 flt #32"
0.0,0.0,0,1,1,2,1,64,8,"Config: 1/1, 2/1 flt #64"
0.0,0.0,0,1,1,2,2,16,9,"Config: 1/1, 2/2 flt #16"
0.0,0.0,0,1,1,2,2,32,10,"Config: 1/1, 2/2 flt #32"
0.0,0.0,0,1,1,2,2,64,11,"Config: 1/1, 2/2 flt #64"
0.0,0.0,0,1,1,3,1,16,12,"Config: 1/1, 3/1 flt #16"
0.0,0.0,0,1,1,3,1,32,13,"Config: 1/1, 3/1 flt #32"
0.0,0.0,0,1,1,3,1,64,14,"Config: 1/1, 3/1 flt #64"
0.0,0.0,0,1,1,3,2,16,15,"Config: 1/1, 3/2 flt #16"
0.0,0.0,0,1,1,3,2,32,16,"Config: 1/1, 3/2 flt #32"
0.0,0.0,0,1,1,3,2,64,17,"Config: 1/1, 3/2 flt #64"
0.0,0.0,0,1,2,1,1,16,18,"Config: 1/2, 1/1 flt #16"
0.0,0.0,0,1,2,1,1,32,19,"Config: 1/2, 1/1 flt #32"
0.0,0.0,0,1,2,1,1,64,20,"Config: 1/2, 1/1 flt #64"
0.0,0.0,0,1,2,1,2,16,21,"Config: 1/2, 1/2 flt #16"
0.0,0.0,0,1,2,1,2,32,22,"Config: 1/2, 1/2 flt #32"
0.0,0.0,0,1,2,1,2,64,23,"Config: 1/2, 1/2 flt #64"
0.0,0.0,0,1,2,2,1,16,24,"Config: 1/2, 2/1 flt #16"
0.0,0.0,0,1,2,2,1,32,25,"Config: 1/2, 2/1 flt #32"
0.0,0.0,0,1,2,2,1,64,26,"Config: 1/2, 2/1 flt #64"
0.0,0.0,0,1,2,2,2,16,27,"Config: 1/2, 2/2 flt #16"
0.0,0.0,0,1,2,2,2,32,28,"Config: 1/2, 2/2 flt #32"
0.0,0.0,0,1,2,2,2,64,29,"Config: 1/2, 2/2 flt #64"
0.0,0.0,0,1,2,3,1,16,30,"Config: 1/2, 3/1 flt #16"
0.0,0.0,0,1,2,3,1,32,31,"Config: 1/2, 3/1 flt #32"
0.0,0.0,0,1,2,3,1,64,32,"Config: 1/2, 3/1 flt #64"
0.0,0.0,0,1,2,3,2,16,33,"Config: 1/2, 3/2 flt #16"
0.0,0.0,0,1,2,3,2,32,34,"Config: 1/2, 3/2 flt #32"
0.0,0.0,0,1,2,3,2,64,35,"Config: 1/2, 3/2 flt #64"
0.0,0.0,0,2,1,1,1,16,36,"Config: 2/1, 1/1 flt #16"
0.0,0.0,0,2,1,1,1,32,37,"Config: 2/1, 1/1 flt #32"
0.0,0.0,0,2,1,1,1,64,38,"Config: 2/1, 1/1 flt #64"
0.0,0.0,0,2,1,1,2,16,39,"Config: 2/1, 1/2 flt #16"
